Wilderness_Area,Id,Elevation,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Hillshade_3pm,Cover_Type,Soil_Type,Hillshade_Noon,Vertical_Distance_To_Hydrology,Slope,Horizontal_Distance_To_Hydrology,Hillshade_9am,Aspect
1,1,2596,510,6279,148,5,29,232,0,3,258,221,51
1,2,2590,390,6225,151,5,29,235,-6,2,212,220,56
1,3,2804,3180,6121,135,2,12,238,65,9,268,234,139
1,4,2785,3090,6211,122,2,30,238,118,18,242,238,155
1,5,2595,391,6172,150,5,29,234,-1,2,153,220,45
1,6,2579,67,6031,140,2,29,237,-15,6,300,230,132
1,7,2606,633,6256,138,5,29,225,5,7,270,222,45
1,8,2605,573,6228,144,5,29,230,7,4,234,222,49
1,9,2617,666,6244,133,5,29,221,56,9,240,223,45
1,10,2612,636,6230,124,5,29,219,11,10,247,228,59
1,11,2612,735,6222,161,5,18,243,51,4,180,218,201
1,12,2886,5253,4051,136,2,30,240,26,11,371,234,151
1,13,2742,3215,6091,92,2,30,224,69,22,150,248,134
1,14,2609,771,6211,170,5,18,247,46,7,150,213,214
1,15,2503,674,5600,151,5,18,240,4,4,67,224,157
1,16,2495,752,5576,137,5,16,225,2,7,42,224,51
1,17,2610,607,6096,161,5,29,239,-1,1,120,216,259
1,18,2517,595,5607,133,5,18,227,6,7,85,228,72
1,19,2504,691,5572,156,5,18,232,5,4,95,214,0
1,20,2503,741,5555,144,5,18,228,10,5,85,220,38
1,21,2501,767,5547,126,5,18,223,8,9,60,230,71
1,22,2880,4986,4323,179,2,30,253,30,17,216,206,209
1,23,2768,3339,5972,71,5,30,209,82,23,192,252,114
1,24,2511,638,5569,130,5,18,222,0,8,124,225,54
1,25,2507,732,5534,143,5,18,221,14,9,120,215,22
1,26,2492,860,5494,142,5,18,237,0,6,0,229,135
1,27,2489,849,5486,145,5,18,243,-4,10,30,230,163
1,28,2962,5916,3395,120,2,29,236,23,16,323,240,148
1,29,2811,3670,5643,154,2,12,238,30,1,212,220,135
1,30,2739,3281,6033,71,5,30,210,53,24,127,253,117
1,31,2703,3191,6123,52,5,30,201,27,30,67,254,122
1,32,2522,595,5569,130,5,18,231,1,7,120,233,105
1,33,2519,616,5559,137,5,18,233,4,6,124,230,102
1,34,2516,658,5541,147,5,18,227,4,6,150,216,23
1,35,2515,680,5532,133,5,18,220,4,9,162,221,41
1,36,2900,5199,4115,100,2,29,195,20,19,242,221,45
1,37,2709,3224,6094,61,5,30,207,23,28,67,253,125
1,38,2511,722,5494,131,5,18,229,18,7,182,231,92
1,39,2749,3316,6005,36,5,30,183,53,30,124,252,98
1,40,2686,3167,6155,157,5,30,219,0,12,0,200,354
1,41,2699,2096,6853,159,1,20,234,0,3,0,213,347
1,42,2570,331,5745,158,2,29,235,0,2,0,215,346
1,43,2533,577,5552,126,5,18,223,-3,9,150,230,71
1,44,2703,3141,6186,184,5,16,197,17,27,30,146,330
